,registros,porcentaje
qc_poblacion_faltante,11080,100.0
qc_duplicado_espacial,176,1.59
qc_isla_cero,0,0.0
qc_coord_faltante,0,0.0
qc_fuera_de_peru,0,0.0
qc_latlon_invertida,0,0.0
qc_duplicado_codigo,0,0.0
qc_depto_fuera_ambito,0,0.0
qc_problema_encoding,0,0.0
qc_poblacion_no_positiva,0,0.0
